date,position_lat_deg,position_long_deg
2019-07-08,42.285218217444644,-83.75125204454417
2019-07-10,42.26888599679253,-83.74252500249294
2019-07-12,42.28931772609524,-83.7641829581733
2019-07-14,42.28101780542113,-83.7325312179438
2019-07-16,42.28752231685138,-83.73591451422323
2019-07-17,42.26887877495693,-83.7425659498732
2019-07-18,42.282058173016026,-83.76365617230311
2019-07-20,42.28044993170623,-83.73640810434844
2019-07-21,42.28507899974281,-83.75436500930547
2019-07-22,42.284585472662,-83.7530329983565
2019-07-23,42.294604753339875,-83.76604499800702
2019-07-24,42.280174130557384,-83.72927051752937
2019-07-25,42.282310576013785,-83.7394112897489
2019-07-26,42.280230900658104,-83.71211539865861
2019-07-27,42.28414351570094,-83.74580411707589
2019-07-28,42.282629562807934,-83.7201173861644
2019-07-29,42.294714366469314,-83.76626031238492
2019-07-30,42.278831827968474,-83.75130093014623
2019-07-31,42.273963010736104,-83.7466471380296
2019-08-01,42.28550215848653,-83.75207453045606
2019-08-02,42.27975609151861,-83.74753124781151
2019-08-03,42.28553637968037,-83.75186695378612
2019-08-04,42.294973618762334,-83.74871050433744
2019-08-05,42.28520512190049,-83.75114301489832
2019-08-06,42.285344516818995,-83.75142976156262
2019-08-07,42.268866451046726,-83.74245720748173
2019-08-08,42.28153723019708,-83.75001509382095
2019-08-09,42.285496257641846,-83.75132216869834
2019-08-10,42.29538312813011,-83.76673385823119
2019-08-11,42.28210628468623,-83.71893790946838
2019-08-12,42.28361215297278,-83.74862787616136
2019-08-14,42.288370235165075,-83.76450428665609
2019-08-17,42.29276037789771,-84.29168122005011
2019-08-18,42.28600546305554,-83.75218770944768
2019-08-20,42.28264841075884,-83.71760505411076
2019-08-21,42.29635534479895,-83.76785182653647
2019-08-23,42.29563607970571,-83.76722699538296
2019-08-24,42.28518426600987,-83.75049312121163
2019-08-28,42.28632784359591,-83.7542023340462
2019-08-31,42.29582352253646,-83.76728937182274
2019-09-12,42.26700589657499,-83.7294966329313
2019-09-14,42.315002883458384,-83.79740603930384
2019-09-15,42.267045682898775,-83.75105887985625
2019-09-16,42.315881349924176,-83.7952142900096
2019-09-23,42.294178005416896,-83.75902888216474
2019-09-25,42.28712041985401,-83.74657659542902
2019-09-28,42.29868576257942,-83.76315818350338
2019-09-30,42.314077285383235,-83.80540333822881
2019-10-03,42.31500309642741,-83.80296338859523
